customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,payment_method,paperless_billing,monthly_charges,total_charges,churn
CUST10000,Male,1,Yes,No,44,Yes,Fiber optic,One year,Mailed check,No,98.41,4306.56,No
CUST10001,Female,0,No,No,43,Yes,Fiber optic,Month-to-month,Mailed check,Yes,53.12,2367.03,Yes
CUST10002,Female,0,No,Yes,16,Yes,No,Two year,Bank transfer,Yes,20.0,490.59,No
CUST10003,Female,0,No,No,57,Yes,Fiber optic,One year,Credit card,No,27.83,1786.14,Yes
CUST10004,Female,0,Yes,No,50,Yes,DSL,Month-to-month,Bank transfer,Yes,107.54,5495.69,Yes
CUST10005,Male,0,Yes,No,54,Yes,DSL,Two year,Electronic check,No,61.97,3348.95,No
CUST10006,Male,0,No,No,34,Yes,Fiber optic,One year,Mailed check,Yes,53.23,1788.15,No
CUST10007,Male,0,Yes,Yes,65,Yes,Fiber optic,One year,Bank transfer,Yes,113.07,7407.16,No
CUST10008,Male,0,Yes,Yes,28,Yes,DSL,Month-to-month,Mailed check,No,103.63,3069.04,Yes
CUST10009,Female,0,Yes,No,58,Yes,Fiber optic,Month-to-month,Credit card,Yes,72.61,4254.76,No
CUST10010,Female,0,No,No,14,Yes,Fiber optic,Month-to-month,Bank transfer,No,64.66,950.69,Yes
CUST10011,Male,1,No,No,18,Yes,No,Two year,Electronic check,Yes,68.7,1241.74,No
CUST10012,Female,0,Yes,No,38,No,Fiber optic,One year,Bank transfer,Yes,77.68,2919.05,No
CUST10013,Male,0,No,No,40,Yes,Fiber optic,Two year,Electronic check,Yes,112.0,4463.79,No
CUST10014,Male,0,Yes,Yes,54,Yes,DSL,Month-to-month,Mailed check,Yes,82.56,4471.78,No
CUST10015,Male,0,No,Yes,21,Yes,Fiber optic,Month-to-month,Mailed check,Yes,90.15,2064.96,Yes
CUST10016,Male,0,No,No,63,No,DSL,Month-to-month,Credit card,Yes,101.23,6353.52,No
CUST10017,Male,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,Credit card,Yes,42.76,1031.5,Yes
CUST10018,Female,0,Yes,Yes,38,Yes,Fiber optic,Two year,Mailed check,No,90.87,3366.52,Yes
